Codigo_Unico,Categoria,Sub_Categoria,Senioridade,modelo,Categoria_Candidaturas,Habilidade,Mencionada
441e8831-16fd-4014-abca-cf50f27405f7,DADOS/BI,ENGENHARIA DE DADOS,PLENO-SÊNIOR,OUTRO,0 Candidaturas,SCALA,1
1a21155b-ed61-464f-a12e-ddd6343cf8ba,DADOS/BI,ENGENHARIA DE DADOS,PLENO-SÊNIOR,OUTRO,0 Candidaturas,SCALA,1
bb701946-a49f-4c43-8219-d28a0fb1b484,DADOS/BI,ENGENHARIA DE DADOS,ASSISTENTE,OUTRO,0 Candidaturas,SCALA,1
fdd09b6c-55b9-4f70-a374-471725ab4817,DADOS/BI,OUTROS DADOS/BI,ASSISTENTE,REMOTO,0 Candidaturas,SCALA,1
54ff6e65-fcdc-499f-bc4e-c55af8ec4b86,DADOS/BI,ENGENHARIA DE DADOS,PLENO-SÊNIOR,OUTRO,Entre 26 e 50 Candidaturas,SCALA,1
ae466548-e156-41a7-97f0-7fec89230b7c,DADOS/BI,ENGENHARIA DE DADOS,ASSISTENTE,OUTRO,Entre 51 e 100 Candidaturas,SCALA,1
11e808ff-4a8c-4118-b2d3-6fb0d0d67f7e,DADOS/BI,ENGENHARIA DE DADOS,ASSISTENTE,REMOTO,0 Candidaturas,SCALA,1
955a3a78-3230-417f-9a63-f016a7b4507b,DADOS/BI,ENGENHARIA DE DADOS,PLENO-SÊNIOR,OUTRO,Entre 26 e 50 Candidaturas,SCALA,1
b4a48a0c-10d8-43a4-af30-221cdab122c6,DADOS/BI,ENGENHARIA DE DADOS,PLENO-SÊNIOR,REMOTO,0 Candidaturas,SCALA,1
a9f24ab5-907d-4a51-acf8-1a89602ea082,DADOS/BI,ENGENHARIA DE DADOS,PLENO-SÊNIOR,REMOTO,0 Candidaturas,SCALA,1
13c1f0f7-e37c-498c-a4bd-bc5ecbc69ae9,DADOS/BI,ENGENHARIA DE DADOS,PLENO-SÊNIOR,REMOTO,0 Candidaturas,SCALA,1
7b503096-f036-451a-9d8d-1b8be8e94f9e,DADOS/BI,ENGENHARIA DE DADOS,PLENO-SÊNIOR,OUTRO,Entre 26 e 50 Candidaturas,SCALA,1
99a9853f-46fe-480a-8060-721231387d61,DESENVOLVIMENTO,OUTROS DESENVOLVIMENTO,PLENO-SÊNIOR,OUTRO,Entre 26 e 50 Candidaturas,SCALA,1
e74794bf-c235-4f4f-8ef4-2b5f31ffe17b,DADOS/BI,ENGENHARIA DE DADOS,PLENO-SÊNIOR,OUTRO,Entre 26 e 50 Candidaturas,SCALA,1
da227d06-2b16-4dbe-b17b-ee086195dd20,DESENVOLVIMENTO,DESENVOLVIMENTO BACKEND,PLENO-SÊNIOR,REMOTO,Entre 26 e 50 Candidaturas,SCALA,1
3c33c5f8-07ee-4795-925f-0d068286a942,ANÁLISE DE SISTEMAS,ANÁLISE DE SISTEMAS,PLENO-SÊNIOR,OUTRO,Entre 26 e 50 Candidaturas,SCALA,1
eb2376e8-e75b-4add-942b-c36d189ac85c,ANÁLISE DE SISTEMAS,ANÁLISE DE SISTEMAS,PLENO-SÊNIOR,OUTRO,Entre 26 e 50 Candidaturas,SCALA,1
a66e0305-fd61-4eb2-9859-a32fc0a9ff37,DESENVOLVIMENTO,DESENVOLVIMENTO BACKEND,PLENO-SÊNIOR,REMOTO,Entre 26 e 50 Candidaturas,SCALA,1
b6a8a591-7c25-4d85-8657-2fe81b5c5eb0,ANÁLISE DE SISTEMAS,ANÁLISE DE SISTEMAS,PLENO-SÊNIOR,OUTRO,Entre 26 e 50 Candidaturas,SCALA,1
820ca989-751d-4b57-9ffc-a06eb0fed271,DESENVOLVIMENTO,DESENVOLVIMENTO BACKEND,PLENO-SÊNIOR,REMOTO,Entre 26 e 50 Candidaturas,SCALA,1
7734a6f9-ed65-4c78-ba90-d249c03f0bbe,DESENVOLVIMENTO,DESENVOLVIMENTO BACKEND,PLENO-SÊNIOR,REMOTO,Entre 26 e 50 Candidaturas,SCALA,1
889aaf7a-b299-428f-9c68-5e2184ad5398,DESENVOLVIMENTO,DESENVOLVIMENTO BACKEND,PLENO-SÊNIOR,REMOTO,Entre 26 e 50 Candidaturas,SCALA,1
01092fff-f6e3-45d0-9b50-a9d30b94ab45,DESENVOLVIMENTO,DESENVOLVIMENTO BACKEND,PLENO-SÊNIOR,REMOTO,Entre 26 e 50 Candidaturas,SCALA,1
f5a152d3-b79d-419d-9461-cce7bda9636e,DADOS/BI,CIENTISTA DE DADOS,PLENO-SÊNIOR,REMOTO,Entre 26 e 50 Candidaturas,SCALA,1
ce44f035-510b-4b40-b4f8-0e8c8f9e0f41,DESENVOLVIMENTO,DESENVOLVIMENTO BACKEND,PLENO-SÊNIOR,REMOTO,Entre 26 e 50 Candidaturas,SCALA,1
2183c00a-f541-45c4-b97d-4f110141c029,DESENVOLVIMENTO,DESENVOLVIMENTO BACKEND,PLENO-SÊNIOR,REMOTO,Entre 26 e 50 Candidaturas,SCALA,1
76c54fc6-8ca8-4a8e-b89c-2f11d1ee833b,ANÁLISE DE SISTEMAS,ANÁLISE DE SISTEMAS,PLENO-SÊNIOR,OUTRO,Entre 26 e 50 Candidaturas,SCALA,1
7b022458-8c73-436b-8c5c-c182a31c4b35,DADOS/BI,ANALISTA DE DADOS,PLENO-SÊNIOR,REMOTO,Entre 26 e 50 Candidaturas,SCALA,1
07684e74-9fe4-4d1c-b8c6-4890ffb984c9,DESENVOLVIMENTO,DESENVOLVIMENTO BACKEND,PLENO-SÊNIOR,REMOTO,Entre 26 e 50 Candidaturas,SCALA,1
0cbfd308-5e38-4e71-a802-94377a1f39ef,DADOS/BI,ENGENHARIA DE DADOS,PLENO-SÊNIOR,PRESENCIAL,Entre 101 e 200 Candidaturas,SCALA,1
cf49a8a8-fa8e-4c67-9b74-1961cc4db7e4,DADOS/BI,ENGENHARIA DE DADOS,PLENO-SÊNIOR,REMOTO,0 Candidaturas,SCALA,1
689ed901-fc1c-4316-949f-00154a004e67,DADOS/BI,ENGENHARIA DE DADOS,ASSISTENTE,OUTRO,Até 25 Candidaturas,SCALA,1
d1b6a6ca-ae41-4416-a533-e1e88fd72831,ANÁLISE DE SISTEMAS,ANÁLISE DE SISTEMAS,PLENO-SÊNIOR,OUTRO,0 Candidaturas,SCALA,1
ce4ca29d-ac02-4428-b966-292407c9814a,DESENVOLVIMENTO,OUTROS DESENVOLVIMENTO,ASSISTENTE,OUTRO,Até 25 Candidaturas,SCALA,1
20357865-4d3c-4f3b-82fd-5ea101b531ef,DESENVOLVIMENTO,OUTROS DESENVOLVIMENTO,ASSISTENTE,OUTRO,Até 25 Candidaturas,SCALA,1
7856d6c9-bd4a-496d-b7d8-129b67455546,DESENVOLVIMENTO,OUTROS DESENVOLVIMENTO,ASSISTENTE,OUTRO,Até 25 Candidaturas,SCALA,1
98bb0a27-72bd-474f-b5a3-3ff76f9271b1,DESENVOLVIMENTO,OUTROS DESENVOLVIMENTO,ASSISTENTE,HÍBRIDO,Até 25 Candidaturas,SCALA,1
02e1fd72-b4bb-4ee4-8b72-99a2b7f90caa,DESENVOLVIMENTO,OUTROS DESENVOLVIMENTO,ASSISTENTE,OUTRO,Até 25 Candidaturas,SCALA,1
4f71306a-b78b-474f-ade3-0966af0e0b7a,DESENVOLVIMENTO,OUTROS DESENVOLVIMENTO,ASSISTENTE,HÍBRIDO,Até 25 Candidaturas,SCALA,1
34864a85-32d2-47e8-b836-4c49d5ab8d7f,DADOS/BI,ENGENHARIA DE DADOS,PLENO-SÊNIOR,OUTRO,Até 25 Candidaturas,SCALA,1
b4151833-9fd6-4451-a77f-1d0a8c8abd90,DADOS/BI,ENGENHARIA DE DADOS,PLENO-SÊNIOR,OUTRO,Até 25 Candidaturas,SCALA,1
e81c2639-f282-4dd2-bf06-26a2b0af4360,DADOS/BI,ENGENHARIA DE DADOS,PLENO-SÊNIOR,REMOTO,Até 25 Candidaturas,SCALA,1
4e1c20d8-b276-4259-84a0-0300a86c583a,DADOS/BI,ENGENHARIA DE DADOS,PLENO-SÊNIOR,REMOTO,Até 25 Candidaturas,SCALA,1
7c476770-1a86-4a33-a119-33c181327210,ANÁLISE DE SISTEMAS,ANÁLISE DE SISTEMAS,PLENO-SÊNIOR,REMOTO,Até 25 Candidaturas,SCALA,1
af4ad0a5-5ab6-45fb-84d9-e3ccde8f5f64,DADOS/BI,ENGENHARIA DE DADOS,PLENO-SÊNIOR,OUTRO,0 Candidaturas,SCALA,1
cae994b2-9a30-4d31-bd86-3d97c30512e9,DADOS/BI,ENGENHARIA DE DADOS,ASSISTENTE,OUTRO,0 Candidaturas,SCALA,1
4a4e97e0-f248-4aa2-912f-3ce3a27ddd1d,DADOS/BI,ENGENHARIA DE DADOS,PLENO-SÊNIOR,PRESENCIAL,0 Candidaturas,SCALA,1
5c7feb5b-2d97-49e4-96a8-d92ba47b784f,DADOS/BI,ENGENHARIA DE DADOS,PLENO-SÊNIOR,HÍBRIDO,Até 25 Candidaturas,SCALA,1
c6232368-f5bb-4b2d-8abc-d8ee8242fa05,DADOS/BI,ENGENHARIA DE DADOS,PLENO-SÊNIOR,REMOTO,Até 25 Candidaturas,SCALA,1
a1c6c409-9652-4b81-9828-0aac9856061c,DADOS/BI,ENGENHARIA DE DADOS,ASSISTENTE,OUTRO,Até 25 Candidaturas,SCALA,1
a12c913b-1a01-4a67-9709-bfba66fdc882,DADOS/BI,ENGENHARIA DE DADOS,PLENO-SÊNIOR,OUTRO,0 Candidaturas,SCALA,1
3a0df21f-0c75-49f0-8b2f-aba51b1e051a,DADOS/BI,ENGENHARIA DE DADOS,PLENO-SÊNIOR,OUTRO,Até 25 Candidaturas,SCALA,1
d1d22ea3-63cf-402e-95ae-2d1350a8f2f3,DADOS/BI,ENGENHARIA DE DADOS,PLENO-SÊNIOR,OUTRO,Até 25 Candidaturas,SCALA,1
276317f7-51c6-437e-9de3-6f9647bb143f,DADOS/BI,ENGENHARIA DE DADOS,ASSISTENTE,REMOTO,Até 25 Candidaturas,SCALA,1
2ea0cb4d-4f08-42df-b940-458d8cbd7555,DADOS/BI,ENGENHARIA DE DADOS,ASSISTENTE,REMOTO,Até 25 Candidaturas,SCALA,1
cced7e49-601e-4e9a-875e-ab602fedf942,DADOS/BI,ENGENHARIA DE DADOS,ASSISTENTE,REMOTO,0 Candidaturas,SCALA,1
d5ef5819-688c-4e5b-a2d8-59eeae53a996,DESENVOLVIMENTO,DESENVOLVIMENTO FULL STACK,PLENO-SÊNIOR,REMOTO,Até 25 Candidaturas,SCALA,1
8e981d74-65ef-4b85-aaff-dc63fadc3bf6,DADOS/BI,ENGENHARIA DE DADOS,ASSISTENTE,OUTRO,Até 25 Candidaturas,SCALA,1
33bfc33f-bcf3-4d79-98cc-8837fe22d11d,DESENVOLVIMENTO,DESENVOLVIMENTO FRONTEND,PLENO-SÊNIOR,PRESENCIAL,Entre 101 e 200 Candidaturas,SCALA,1
65416c63-a786-441c-beb7-a0a8e6576eb6,DESENVOLVIMENTO,DESENVOLVIMENTO BACKEND,PLENO-SÊNIOR,PRESENCIAL,Entre 101 e 200 Candidaturas,SCALA,1
77ee0bb5-cfd7-469a-8be7-a3b1e93c2e9e,DADOS/BI,ANALISTA DE DADOS,JÚNIOR,OUTRO,Até 25 Candidaturas,SCALA,1
0c64460a-3cb2-47a9-9880-554278734bcb,DESENVOLVIMENTO,DESENVOLVIMENTO FULL STACK,NÃO INFORMADO,PRESENCIAL,0 Candidaturas,SCRUM,1
28791080-a8a4-41c0-b8e7-8193e2fea76a,DESENVOLVIMENTO,DESENVOLVIMENTO BACKEND,ASSISTENTE,OUTRO,Até 25 Candidaturas,SCRUM,1
1a89d760-54a2-4515-a85f-072a08823f3c,DESENVOLVIMENTO,OUTROS DESENVOLVIMENTO,ASSISTENTE,OUTRO,Até 25 Candidaturas,SCRUM,1
eb7a5418-bbd4-4069-8f88-c3d3a0b8e343,DESENVOLVIMENTO,DESENVOLVIMENTO FULL STACK,PLENO-SÊNIOR,OUTRO,0 Candidaturas,SCRUM,1
43b29dff-36aa-446b-8abb-879a6febeaa4,DESENVOLVIMENTO,DESENVOLVIMENTO FULL STACK,ASSISTENTE,OUTRO,Até 25 Candidaturas,SCRUM,1
d3deb448-f672-47d2-a8e7-82ead5d4fbde,DESENVOLVIMENTO,OUTROS DESENVOLVIMENTO,ASSISTENTE,OUTRO,Até 25 Candidaturas,SCRUM,1
36f48a16-7532-4ba7-a039-b7bb512e598c,DESENVOLVIMENTO,DESENVOLVIMENTO BACKEND,ASSISTENTE,OUTRO,Até 25 Candidaturas,SCRUM,1
7a55db90-3046-4e84-9ac9-020d54659702,DESENVOLVIMENTO,OUTROS DESENVOLVIMENTO,ASSISTENTE,OUTRO,Até 25 Candidaturas,SCRUM,1
c3f7cb04-ffee-41a7-a7da-3ac3a9a1fa84,DESENVOLVIMENTO,DESENVOLVIMENTO FRONTEND,ASSISTENTE,OUTRO,Entre 101 e 200 Candidaturas,SCRUM,1
3a5a303c-cccd-46ba-b733-7b53501bb687,DESENVOLVIMENTO,OUTROS DESENVOLVIMENTO,ASSISTENTE,OUTRO,Até 25 Candidaturas,SCRUM,1
a8824a7e-a04a-4d31-8d43-42567adf6498,DESENVOLVIMENTO,DESENVOLVIMENTO FULL STACK,ASSISTENTE,OUTRO,Até 25 Candidaturas,SCRUM,1
0c9df38f-b0ec-43e8-a2bf-7da364be4c7e,DESENVOLVIMENTO,DESENVOLVIMENTO BACKEND,ASSISTENTE,OUTRO,Até 25 Candidaturas,SCRUM,1
